  0.51  36.37 228.94
  0.52  36.41 228.91
  0.52  36.45 228.88
  0.52  36.49 228.84
  0.52  36.53 228.81
  0.52  36.57 228.78
  0.52  36.61 228.75
  0.52  36.65 228.71
  0.53  36.69 228.68
  0.53  36.74 228.65
  0.53  36.78 228.62
  0.53  36.82 228.58
  0.53  36.86 228.55
  0.53  36.90 228.52
  0.53  36.94 228.49
  0.53  36.98 228.46
  0.54  37.02 228.42
  0.54  37.06 228.39
  0.54  37.10 228.36
  0.54  37.14 228.33
  0.54  37.18 228.30
  0.54  37.22 228.26
  0.54  37.26 228.23
  0.54  37.30 228.20
  0.55  37.34 228.17
  0.55  37.39 228.14
  0.55  37.43 228.11
  0.55  37.47 228.07
  0.55  37.51 228.04
  0.55  37.55 228.01
  0.55  37.59 227.98
  0.56  37.63 227.95
  0.56  37.67 227.92
  0.56  37.71 227.89
  0.56  37.75 227.85
  0.56  37.79 227.82
  0.56  37.83 227.79
  0.56  37.87 227.76
  0.56  37.91 227.73
  0.57  37.95 227.70
  0.57  37.99 227.67
  0.57  38.03 227.64
  0.57  38.07 227.61
  0.57  38.11 227.57
  0.57  38.15 227.54
  0.57  38.18 227.51
  0.57  38.22 227.48
  0.58  38.26 227.45
  0.58  38.30 227.42
  0.58  38.34 227.39
  0.58  38.38 227.36
  0.58  38.42 227.33
  0.58  38.46 227.30
  0.58  38.50 227.27
  0.59  38.54 227.23
  0.59  38.58 227.20
  0.59  38.62 227.17
  0.59  38.66 227.14
  0.59  38.70 227.11
  0.59  38.74 227.08
  0.59  38.78 227.05
  0.59  38.81 227.02
  0.60  38.85 226.99
  0.60  38.89 226.96
  0.60  38.93 226.93
  0.60  38.97 226.90
  0.60  39.01 226.87
  0.60  39.05 226.84
  0.60  39.09 226.81
  0.60  39.13 226.78
  0.61  39.17 226.75
  0.61  39.20 226.72
  0.61  39.24 226.68
  0.61  39.28 226.65
  0.61  39.32 226.62
  0.61  39.36 226.59
  0.61  39.40 226.56
